 Blood Bank Name, Address, Contact No, Latitude, Longitude
Rinchi Trust Hospital Blood Bank,"Rinchi Trust Hospital Blood Bank, Kathal More, Itki Road, Ranchi.",0651 6456780,23.3451234,85.1106008
Devkamal Hospital and Research Centre Blood Bank,"Bajra Bazar, Bajra, Near IIT Bus Stand, Itki Road",7549000645,23.3691335,85.2204851
Gurunanak Hospital and Research Centre Blood Bank ,"Gurunanak Hospital and Research Centre Blood Bank Unit, Station Road, Ranchi.",0651 2460506,23.349938,85.330008
Sainik Hospital Blood Bank Namkum,"Blood Bank, Sainik Hospital, Namkum, Ranchi",0651 2260245,23.3496021,85.3796172
Birsa Blood Bank Bariyatu,"RIMS Colony, Near Hill View Nursing Home, Bariyatu
",0651 2542437,23.3979534,85.3514914
Jharkhand Blood Bank Bariatu ,"Jharkhand Blood Bank, S. R. Complex,  Near Bariatu Masjid, Bariatu","09334439995, 09973161687",23.395757,85.351652
Archi Blood Bank Jharkhand ,"Baxi Avenew, Dr. J. Sharan Lane Bariatu Ranchi",0651 6455072,23.38949,85.346526
Sahebganj Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital, Sahebganj",06436 222050,25.235841,87.634215
Simdega Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Simdega ",9905101190,22.6149779,84.5028825
Chaibasa Sadar Hospital Blood Bank ,"Blood Bank, Sadar Hospital Chaibasa, West Singhbhum ",9279221139,22.5505168,85.8054811
Kiriburu Meghahatuburu General Hospital Blood Bank,Kiriburu Iron Ore Mines,06596 245025,22.104554,85.291571
TATA (TISCO) Hospital Blood bank,"Blood Transfusion Unit, TISCO Hospital, Noamundi, Chaibasa",9234612775,22.145873,85.494402
Bagalkot Blood Bank,"Hanagal Shree Kumareshwar Hospital and Research Centre, Ilkal Road",0835 220420,16.186132,75.70653
B. V. V. Sanghas HSK Hospital Blood Bank,"Navanagar, Bagalkot",08352 235410 ,16.165075,75.675072
District Hospital Blood Bank Bagalkot,Navanagar,0835 4236030,16.165011,75.660812
M/s. Vijay Mahant Blood Bank,"Sri Basaveshwara Childrens Hospital & Research Centre,
Gorbal Naka",08351 270838,15.9634037,76.1165421
Ramanagoudar Hospital Blood Bank," 2nd floor, CTS, No.4042/B17, Near Kathi Kalyan Mantap ",08350 281999,15.364709,75.123955
M/s. Sai Aadhar Hospital Blood Bank,"Sai Aadhar Hospital, Yadwad Road",08350 282100,16.325218,75.289397
K.L.E.Society & Medical Research Centre Blood Bank,Nehru Nagar,0832 2473777,15.887919,74.519593
Belgaum Blood Bank and Diagnostic Laboratory,"3137, Huns Talkies Road, (opposite to Central High School)",0831 2425835,15.860356,74.512478
District Hospital Blood Bank,Dr. B. R. Ambedkar Road,0831 2425073,15.86908,74.510438
Shree Mahaveer Blood Bank," 4th Floor, Radio Complex, CTS No. 116/1A, Shivaji Road",0831 2430759,15.854367,74.511233
M/s. Sri Sai Blood Bank,"Shri Sai Hospital, No:40/2, Laxmi Nagar Main Road,
Vadagaon",0831 2496444,15.833587,74.526571
Rotary Charitable Trust Blood Bank,"New Extension Area, Nippani",08338 221377,16.160173,74.812128
Rotary Seva Sangh Blood Bank," R. S. No. 211/B, Plot No. 14C, Yogikolla Road",0831 225300,16.160405,74.81216
Medical College Hospital Blood Bank,"Vijayanagara Institute of Medical Science (VIMS), Bellary",08392 235356,15.154334,76.896594
Swamy Vivekananda Charitable Blood Bank,"D. No.130, Near TVS Show Room, Parvathinagar Main Road",0839 266938,15.1524155,76.9247396
Smt. Vasantidevi Baldota Blood Bank,"Baldota Colony, Dam Road, Hospet",0839 231901 ,15.260432,76.3812983
MVJ Medical College and Research Hospital Blood Bank,"Dandupalya, Kolathur Post, NH-4",080 27931473,13.077457,77.811502
BGS Global Hospitals Blood Bank,"No. 67, Uttarahalli Road",080 26255555,12.911276,77.486216
Harsha Hospital Blood Bank,"No. 193/4, Byraveshwaranagar, Sondekoppa Circle, N.H.4, Bengaluru.",080 27723695 (Not in use),13.097983,77.38581
Narayana Hrudayalaya Blood Bank,"University Medical Centre, (KMC) Hospital",080 27835000 ,12.80927,77.695173
Government Haji Sir Ismail Sait Gosha Hospital Blood Bank,"Near KSPCB Limited, Tasker Town, Shivaji Nagar",080 2286 6529,12.987532,77.604913
Swamy Vivekananda Voluntary Blood Bank,"No.20,3rd Floor, SGRR Complex, 1st Cross, Raja Ram Mohan Roy Road, S. R. Nagar",080 22224044,12.9649846,77.589012
M/s. Aster CMI Hospital Blood Bank,"43/2, Bellary Rd,NH-4,Sahakar Nagar, Hebbal",080 43420213,13.054677,77.592504
M/s. East Point Hospital Blood Bank Virgonagar,"East Point college of Medical Sciences&Hospital, Janana Prabha Campus, Bidarahalli",080 25136246,13.053662,77.717912
Unique Blood Bank & Diagnostic Centre,"1st floor,S.L.N.Complex, City Market Square",080 2600685,12.965837,77.576262
SHUSHRUTHA VOLUNTARY BLOOD BANK,"The Blood Bank Medical officer
Sushrutha Voluntary Blood Bank,
No:875,Modi Hospital Road,  Near Pristine Hospital",080 23230777,12.9978842,77.5411603
Bengaluru Blood Bank and Diagnostic Laboratory,"Between 6th and 7th Cross, Opposite R.R.Gold Palace, Sampige Road,Malleshwaram",080 23347714,12.998074,77.571614
Bengaluru Rotary TTK Medical Service Trust Blood Bank,"New Thippasandra Main Road, HAL III Stage",080 25293486/ 9900153000/ 9900163000,12.99807,77.580434
KIMS Hospital Blood Bank,"K. R. Road, Visveswarapuram,Near Makkala Koota Bus Stop",080 26613225,12.956353,77.574114
Bangalore Baptist Hospital Blood Bank,"Bellary Road, Hebbal",080 22024700,13.035289,77.589935
Sanjaya Gandhi Accident Hospital and Research Institute Blood Bank,"Jayanagar East, Byrasandra",080 26564516,12.935769,77.593859
Victoria Hospital Blood Bank,"Fort Road, Bengaluru",080 26700001,12.963399,77.573818
M. S. Ramaiah Medical Teaching Hospital Blood Bank,Gokul Extension,080 22183100,13.030487,77.566648
Saint Martha&#39;s Hospital Blood Bank,Nrupatunga Road,080 40128243,12.970679,77.586085
Kidwai Memorial Institute of Oncology Blood Bank,Dr. M.H.Marigowda  Road,080 26094082,12.93759,77.598537
Transfusion Medicine Centre Blood Bank,NIMHANS Hosur Road,"080 26995435, 080 26995436, 080 26995437",12.94039,77.59883
St. John&#39;s Medical College Blood Bank,"Sarjapur Road, Bengaluru",080 22065045,12.929482,77.620182
Mallya Hospital Blood Bank,"No.2, Vittal Mallya Road",080 22277979	,12.968063,77.595068
Hindustan Aeronautics Limited - HAL Hospital Blood Bank ,"Suranjandas Road, Near HAL Airport, Vimanapura",080 22314632   ,12.962447,77.665284
Saint Philomena Blood Bank,"No.1, Nilsandra Road",080 40164348 ,12.965428,77.610476
K. C. General Hospital Blood Bank,Malleshwaram,080 23343791,12.996389,77.56931
Command Hospital Blood Bank Air Force,"Old Airport Road, Near Cambridge Layout, Domlur Village, Post Agram",080 25234632,12.963321,77.62882
E.S.I.Hospital Blood Bank,Rajajinagar,080 23013808,12.990775,77.553498
Rashtrotthana Blood Bank,"93/2 Keshava Shilpa 1st Mn Road, Kempegowda Nagar ",080 26610916,12.954814,77.565362
Dr. B. R.Ambedkar Medical College Hospital Blood Bank,"K.G.Halli, Bengaluru",080 25463442,13.025275,77.614217
Hosmat Hospital Unit of Phisicare Services Private Limited Blood Bank,"No.45, Magrath Road, Off. Richmond Road",080 25593796,12.969035,77.61346
Grace Blood Bank and Laboratory,"2, 10th Cross, Ganganagar, Bengaluru",080 23431233 ,13.026155,77.588859
Sri Sathya Sai Institute of Higher Medical Sciences Blood Bank,"EPIP Area, Whitefield","080 28411500, 080 28004600 ",12.981135,77.729224
Navarang Blood Bank,"No.2953, Ist Floor, Near Navarang Circle, M.K.K.Road, 
Rajaji Nagar, ",080 23521233 ,12.9982,77.551623
Bangalore Lions Service Trust - Lions Blood Bank,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar",080 22266807,12.989645,77.592754
Sri Jayadeva Institute of Cardiology Blood Bank,"Gurappanapaly Post, Banneraghatta Road",080 22977213,12.917957,77.599329
Vydehi Institute of Medical Science Hospital Blood Bank,"EPIP AREA, 06 WHITE FIELD",080 28410874 ,12.975378,77.72927
Akshay Voluntary Blood Bank,"No. 968, 2nd Floor, 41st Cross, 3rd Block. Opposite E.S.I. Hospital, Rajajinagar",080 23147303,12.989853,77.552805
Bowring and Lady Curzon Hospitals Blood Bank,"Shivaji Nagar, Bengaluru",080 25591362,12.982165,77.604276
Kempegowda Medical Service Trust - Millennium Blood Bank,"No.1082/9, Sreenivasa Prasanna Complex, Triveni Road, Yeshwanthpur, Bengaluru",080 23571001,13.019584,77.557981
S. K. Voluntary Blood Bank,"14/1,I Floor, MESA Complex, Old Tolgate Bus Stop, 
Magadi Main Road",080 23103524 ,12.974445,77.549288
Indira Gandhi Child Institute of Health Blood Bank,"South Hospital Complex, Dharamaram College Post",080 22443143,12.937319,77.592016
Rajarajeshwari Medical College Hospital Blood Bank,"5th Cross, Mysore Road, New Guddadahalli",080 65666768 ,12.896508,77.46166
Sanjeevini Trust Jayanagar Voluntary Blood Bank,"1897/A, Cellar Floor, Gulora, 26th Main Road, Sount End Cross Road, 9th Block, Jayanagar",080 26494748 ,12.9157415,77.5909561
Sri Vinayaka Charitable Trust  Jeeva Voluntary Blood Bank,"No. 23 and 84, Sharoff Basappa Commercial Complex, 2nd Main, Ist Cross, New Tharugpet",080 25990583,12.961633,77.571067
Indian Red Cross Society - Karnataka Red Cross Blood Bank,"Red Cross Bhavan, 326, Ist Floor, Race Course Road, Bengaluru",080 22268435,12.984218,77.578831
Apollo Hospitals (Imperial Cancer Hospital and Research Centre) Blood Bank,"Apollo Hospitals a unit of Imperial Cancer Hospital and Research Centre Limited, 154/11, Opp.I.I.M Bannerghatta Road",080 26304050 / 51,12.89643,77.598015
Vijayanagar Hospital Blood Bank,"No. 27, 17th Cross, M.C. Layout, Vijayanagar",080 23358800,12.969227,77.536519
Bangalore Institute of Oncology Blood Bank,"No. 8, P. Kalinga Rao Road, Sampangiram Nagar",080 40206121,12.964273,77.589629
Ocean Blood Bank,"No. 133-134, K. P. Broadway Road, Shivajinagar",080 25552199,12.982018,77.604484
Rotary K. R. Hospital Blood Bank," No. 75, Hanumanthanagar, 50 Feet Road, Bengaluru ",080 28437393,12.941937,77.553588
Veerayoga Institute of Medical Sciences Speciality Hospitals Blood Bank,"VIMS, No. 88, Marathhalli, Outer Ring Road",080 4269800,12.948331,77.699554
Columbia Asia Referral Hospital Blood Bank,"26/4, Brigade Gateway, Beside Metro Cash and Carry West West, Malleshwaram,",080 39898968,13.014167,77.556035
Sagar Hospital Blood Bank,"Sy. No.53, Shavige Malleshwara Hills, Kumar Swamy Layout, Banashankari",080 42999177  ,12.907709,77.565114
Fortis Hospital Private Limited Blood Bank,Bannerghatta Road,080 66214055 ,12.89453,77.598902
Fortis Hospital Private Limited Blood Bank,"14, Sheriffs Centre,Cunningham Road","080 41994515, 080 22261037",12.988216,77.594232
Sagar Hospital Blood Bank," 44/54, 30th Cross, Tilak Nagar, Jayangar Extension",080 26536712 ,12.928003,77.599598
Manipal Hospital Transfusion Services Blood Bank,"No.98, Rustombagh, HAL Airport Road",080 25024357,12.958758,77.6491
Yashomathi Medicare and Research Centre Private Limited Blood Bank,"2371/3, HAL Airport, Varthur Main Road, Munne Kolala, Marathahalli Post",080 43221019,12.955719,77.711256
Life Care Voluntary Blood Bank," No.126, 7th Block, Jayanagar, Opposite to Jayanagar Police Station",080 22446923,12.92837,77.581654
The Oxford Medical College Hospital Blood Bank and Research Centre," Yadavanahalli, Attibele (Hobli), Anekal Taluk",8030847115,12.787186,77.756942
Sakra World Hospital Blood Bank,"Sakra world Hospital (A Unit of Takshasila Hospitals Operating Private Limited), S.No. 52/2 and 52/3, Devarabeesanahalli, Varthur Hobli, Bellandur Post",080 49694916 ,12.932125,77.685263
Dr.Rajkumar (Appaji) Blood Bank," No.18, Krishi Bhavan, 2nd Floor, Hudson Circle",080 22108108,12.967558,77.589363
Sri Shankara Cancer Hospital and Research Centre Blood Bank,"Shankara Math premises, 1st cross, shankarapuram, Basavanagudi",080 26981101,12.954575,77.571128
Mediscope Blood Bank,"Mediscope Hospital, No.11, Pillanna Garden, 3rd stage",080 25466554  ,12.999478,77.616872
Sapthagiri Hospital Blood Bank,"No.15, Chikkasandra, Hesaraghatta Main Road",080 22791638,13.070573,77.50228
District Hospital Blood Bank Bijapur,Athani Road,08352 270108,16.828098,75.691713
B.L.D.E. Association&#39;s Medical College & Reserch Centre Blood Bank,"Mahal Bagayat,Ashram Road",0835 2262770,16.845101,75.710641
Lions Blood Bank,"Bandikaman Road, Ward No.6, CTS No.168, Basement Ground and First Floor",08352 22200050  ,16.827207,75.725839
Dr. B. N. M. Rural Ayurvedic Medical College and Hospital Blood Bank,"Smt. Sushiladevi Nagur Colony, College Road",0835 2655760,16.8301759,75.7078424
Al-Ameen Medical College Hospital Blood Bank,"Athani Road, Bihapurkar",08352 270113,16.825058,75.669209
GMETS Dr. Goudars Blood Bank,"852, A1 and A2 Ward IX, 1st Floor, Dr. Karigoudar&#39;s Complex Godbolemala",08352 253604,16.828072,75.709979
District Hospital Blood Bank Chamarajanagar,District Hospital,08226 222067,11.926773,76.941473
Holy Cross Hospital Blood Bank,"Kamagere , Kolegala Taluk, Chamaraja Nagar",08226 263116  ,12.12938,77.233586
Indian Red Cross Society Blood Bank Chikkaballapur,"District Family Welfare Office, 2nd Floor, B. B. Road",08156 272118,13.438043,77.72929
Mallegowda District Hospital Blood Bank,Chikkamagaluru,08262 238083,13.218016,75.251826
Holy Cross Hospital Blood Bank,"Housing Board Colony, K. M. Road, Jyothi Nagar",08262 220077 ,13.338634,75.80355
Sharada Dhanvantari Charitable Hospital Blood Bank,"S. D. C. Hospital, P.B. No. 13, Vidyaranyapura Village,",0826 220175,13.428948,75.254286
District Hospital Blood Bank Chitradurga,B. D. Road Chitradurga,08194 234710,14.220818,76.4065
SJM Blood Bank Basaveshwara Medical College Hospital and Research Centre,"NH-4, By Pass, Near KHB Colony",08194 222054 ,14.239807,76.388943
Vasavi Blood Bank,"Khata No. 4895/4720, Assessment No. 11479/13, 
B. L. Gowda Layout, Thurunur Road",08194 222666,14.229572,76.409483
Jyothi Hospital Blood Bank,"Jyothi Hospital, Laila-574 214, Belthangady",0825 6233939,12.991208,75.288255
M/s. Indian Red Cross Society Blood Bank,"1st floor, Govt Hospital Building, Muncipal Road",08254 233111,13.628482,74.690683
Fr. Mullers Charitable Instituitions Blood Bank,"Post Box No.501, Kankanady",0824 2238126,12.866805,74.85933
City Hospital Research and Diagnostic Centre Blood Bank,"Pound Garden, Kadri",0824 221790 ,12.87963,74.853044
The District Surgeon - Wenlock District Hospital Blood Bank,Hampanakata,0824 2413205,12.867384,74.843132
Yenepoya Medical College Blood Bank,"Nithyananda Nagar, Deralakatte",0824 2204668 ,12.81194,74.881231
A. J. Hospital and Research Centre Blood Bank,"Kuntikana, NH- 66",0824 2225535 ,12.899478,74.845975
KMC University Medical Centre Blood Bank,"Dr. B. R. Ambedkar Circle, Jyothi",0824 2444590 (Extn. 5059),12.870434,74.844505
Srinivasa Institute of Medical Sciences and Research Centre Blood Bank,"Mukka,Srinivas Nagar,Surathkal",0824 2474883,13.021405,74.792037
 M/s. Tejasvini Hospital Lions Blood Bank,Kadri Temple Road,0824 2225994,12.880334,74.853689
Indian Red Cross Society Blood Bank Mangalore,"Lady Goshen Hospital, Behind Central Market",0824 2423755 ,12.864857,74.83818
Nitte University Blood Bank,"Justice K. S. Hegde Charitable Hospital, Deralakatte",0824 220447  ,12.807444,74.888332
M/s. Kanachur Hospital & Research Centre Blood Bank,"Ground Floor, C Block, University Road, Deralakatte",08242 202982,12.803421,74.898097
Rotary Campco Blood Bank,"Radhakrishna Building, Shree Radhadrishna Mandir Road",0824 234242 ,12.760706,75.198947
K. V. G Medical College Hospital Blood Bank,Kurinji Bag,0824 230326 ,12.55332,75.384249
Chigateri District Hospital Blood Bank,"Chigateri District Hospital, Chigateri",08192 272085,14.456165,75.916182
Bapuji Hospital Blood Bank,C.G. Hospital Road,08192 253850  ,14.4588202,75.9167473
Davangere Blood Bank,"358, Mahaveera Complex, II Floor, 8th Main, 8th Cross, P.J. Extension",08192 236655 ,14.459198,75.915238
Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank,"Jnanashankara, NH-4 Bypass Road, Post Box-1",08192 266016 ,14.430349,75.942694
Karnataka Hemophillia Society Life Line Blood Bank,"No.1138, Ring Road, S. Nijalingappa Layout, Behind KSFC Building",08192 231948,14.457405,75.902533
INDIAN RED CROSS SOCIETY,Devraj Urs Layout,08192 252550,14.475314,75.909787
Rotary Club Dharwad Mid Town Charitable Trust - Rotary Blood Bank,"Lourde&#39;s Hospital, Kalageri Road",0836 2746123,15.46373,74.969829
District Hospital Blood Bank Dharwad,Fort Road,0836 2747747,15.46473,75.010366
SDM College of Medical Sciences and Hospital Blood Bank,"First Floor B Wing Building, Sattur",0836 2477262,15.417904,75.050162
Karnataka Medical College Hospital Blood Bank,"III Floor, # 306 ",080 2272908,15.3669,75.128266
M. R. Diagnostic Research Centre and Blood Bank,"Ground Floor, Eureka Towers, Traffic Island",0836 2253450  ,15.364705,75.123954
The Karnataka Cancer Therapy and Research Institute Smt. Valbai N. Dharamsey Blood Bank,Navanagar ,0836 2228217 ,15.36472,75.123954
Jeevanavar Blood Bank,"CTS No.104,11/15-B, Municipal No.20922/17-A, 
K.H.Jituri Hospital, Complex, II Floor, Gokul Road",0836 2278320 ,15.353643,75.130587
Hubli Lions Blood Bank,"CTS No. 440, Ward No.1, Groud Floor, Vivekananda General Hospital Compound, Deshpande Nagar, Hubli",0836 2258080 ,15.354562,75.135566
Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Bank,"2nd Floor Dee Jay building, Neeligin Road",0836 2358838,15.3534025,75.1348707
Life Line 24x7 Blood Bank,Opposite to New Bus Stand Airport Road,0836 2330000,15.35144,75.117758
M/s. Suchirayu Healthcare Limited Blood Bank,"Sy.No:28/8-11,M.Timmasagara, Jalavi Garden, Off Gokul Road",0836 2239000,15.3526453,75.1155103
IMA Blood Bank,"Zendha Circle, Station Road",08372 253955 ,15.436162,75.637616
Gadag Institute of Medical Sciences & District Hospital Blood Bank,"Gadag Institute of Medical Sciences, Mallasamudra",08372 297214,15.380961,75.600802
Sri. Chamarajendra District Hospital Blood Bank,Hospital Road,08172 252330,13.004537,76.103797
Jeeva Raksha Blood Bank,"Vokkaligara Hostel Building, Ist Floor, B.M.Road",08172 26204 ,13.0032624,76.0975902
Manjunath Orthopaedic and Trauma Centre Hospital Blood Bank,K. R. Puram,08172 266124,13.0080708,76.1016262
HKES Blood Bank Organisation,"M.R. Medical College, Basave shwara Teaching and General Hospital, No.7-52 Sadam Road","08472 220307, 08472  225085",17.328385,76.844483
District Hospital Blood Bank,Sedam Road,08472 2240630,17.328685,76.840743
Health Care Blood Bank,"3-400/401 A, Ist Floor, Taj Complex, Gazipura",08472 261886 ,17.3353831,76.8361997
Khaja Banda Nawaz Teaching and General Hospital Blood Bank,"Khaja Nagri, Station Main Road",0847 2223458,17.352728,76.853237
M/s. Vaatsalya Life Hospitals Navajeeva Blood Bank,"Vaatsalya Life Hospital, 1st Floor, Near RTO Office, SH-10",08472 240066,17.328477,76.847911
M/s. Medicare Multispeciality Hospital Blood Bank,"Badagu Health Services Private Limited, 1st Floor, Darga Road, Santraswadi",08472 262524,17.337775,76.844343
District Hospital Blood Bank,General Thimayya Road,08272 223445,12.418764,75.742555
Sambrama Institute of Medical Sciences & Research Hospital Blood Bank,"No:3029/1, D. K. Plantation BEML Nagar",08153 263230,12.996519,78.240449
General Hospital Robertson Peth Blood Bank,Kolar Gold Field (K. G. F),08253 271041,12.953386,78.271285
S.N.R. District Hospital Blood Bank,"Gowripete, Kolar",08152 222035,13.129255,78.13435
BEML Medical Centre Bharat Earth Movers Limited Blood Bank,Kolar Gold Fields ,08153 263208 ,12.983949,78.237201
Gopi Blood Bank,"Gunj Area, C.B.S. Circle, Gangavthi ",08533 272191 ,15.4345687,76.5018267
Indian Red Cross Koppal District Branch Blood Bank,"1st Floor, New District Hospital, Hospital Road, Koppal ",0853 9225088,15.419164,76.138152
Adichunchanagiri Hospital and Research Centre Blood Bank,"Balagangadharnath Nagar, Bellur",08232 287433  ,12.966319,76.721027
District Hospital Blood Bank Mandya, District Hospital Premises,0832 224040,12.4279555,76.7010341
MDC Voluntary Blood Bank,"Khatha No. D5/1045/187, Alahalli Extension, General Hospital Road, Nehrunagar",08232 231665 ,12.52027,76.899169
Vikarm Hospital Blood Bank,"Vikarm Hospital, No.D5/271/219B and D5/272/1220, 3rd Cross, Ashoka Nagar",08232 402121,12.525089,76.8982
Holdsworth Memorial Mission Hospital Blood Bank,Mandimohalla,0821 2521650  ,12.316416,76.650574
Bassappa Memorial Hospital Blood Bank,"22/B, Vinoba Road, Jayalakshmipuram",0821 2511671,12.320811,76.62005
B. G. S. Apollo Hospital Blood Bank,"Kantharaj Urs Road, Kuvempunagar",0821 2566666 ,12.29573,76.632061
Vikram Hospital and Heart Centre Blood Bank,"346, Vivekananda Road, Yadavagiri",0821 2412121,12.32354,76.638119
Rotary Mysore Chandrakala Hospital Blood Bank,"Chandrakala Hospital and Institute of Medical Research, Plot &#39;A&#39;, Kalidasa Road, Jayalakshmipuram",0821 4288638,12.325868,76.619519
Jeevadhara Voluntary Blood Bank ,"Aunit of Cauvery Social Services Trust, No.1475, 2nd Floor and 3rd floor, New Sayaji RaoRoad, Mandi Mohalla",0821 2444936,12.315731,76.65103
Nuveen Medical Relief and research Foundation Blood Bank,"St.Joseph SH-17, 331/1, L176/2, Bannimantap",0821 2496688,12.3410708,76.6531589
Cauvery Hospital Blood Bank,"No.42/2B, 2C, Teresian College Circle, Siddarth Nagar",0821 2425000,12.30509,76.695813
Kamakshi Hospital Blood Bank,"1st Floor, New Building of Kamakshi Hospital Premises, Kuvempnagar Mysore",0821 2545981  ,12.299739,76.623762
Narayana Hrudayalaya - Surgical Hospital Private Limited Blood Bank," CAH-1, 3rd Phase, Devanur",0821 7122222 (Extn. 2260),12.345086,76.673031
J. S. S. Hospital Blood Bank,"J S S Hospital, Ramanuja Road",0821 2335009,12.29521,76.65607
K. R. Hospital Blood Bank,Sayyaji Rao Road,0821 2429800,12.313101,76.649573
Railway Hospital Blood Bank,Yadavagiri,0821 2517238,12.325712,76.635623
Hutti Gold Hospital Blood Bank,"Hutti Gold Mines Limited, Raichur",08532 275049,16.196412,76.653027
Indian Medical Association Blood Bank,"3.9.58, Old Government  Hospital Compound, Beron Quilla",08532 226608,12.960041,77.57296
Navodaya Medical College Hospital and Research Centre Blood Bank,Mantralaya Road,08532 223361 (Extn. 444),16.184331,77.368042
Sri Shakti Blood Bank,"Badarli Venkat Rao Gouda Health Care Association, Venkateshwara Tourist Home, Sukalapeta Road",0853 5220299,15.7687772,76.7638445
M/S Indian Red Cross Society,"Ramanagar District Branch,
District Hospital Premises,1st Floor",080 2727200,12.5418511,77.3404064
Jeevadhara Blood Bank,"17, Meena Nursing Home, Madhava Nagar",08182 263770,13.844738,75.710033
VISL Hospital Blood Bank," SH 65, Hutta Colony",08182 271620,13.83034,75.690275
McGann Hospital Blood Bank,Sagar Road,08182 222412,13.935689,75.562968
Shimoga Mid Town Rotary Charity Foundation Blood Bank,"Opposite Usha Nursing Home, 100 Feet Road",08182 274333,13.94626,75.57832
Subbaiah Medical College Blood Bank,"NH-13, Purle, Hjolehonnur, Road",08182 277505,13.932932,75.617172
M/s. Sahyadri Narayana Multispeciality Hospital Blood Bank,"New Thirthahalli Road, Harakere",08182 221577,13.908068,75.560375
Red Cross Sanjeevini Blood Bank,"Ist Floor, Kshiti Complex, JPN Road",08182 228855,13.933868,75.57183
Sri Sidhartha Medical College Blood Bank,"Agalakote, B.H.Road",08162 278867,13.346024,77.057009
District Hospital Blood Bank Tumkur,"Near Town Hall, B.H. Road, Tumkur",08162 257404,13.339661,77.098414
J.C. Voluntary Blood Bank,"Plot No. 5421, II Floor, Narasimha Building, Nisarga Layout, B.H. Road",08162 272980 ,13.337779,77.11681
Vijaya Hospital Blood Bank,"10054/A, 4511/A, 3rd Main Road",0816 2257762,13.332531,77.096051
Rotary Tumkur Central Belli Blood Bank,"Khata No. 308/A, 321/A and 303/A/321, Ward No. 13, Opposite Government Hospital, Gandhinagar",0816 225277,13.3415593,77.1031786
Sri Shridevi Charitable Trust - Sreedevi Institute of Medical Sciences & Research Hospital Blood Bank,"NH-4, Sira Road,Tumkur",7259033424,13.376281,77.096987
Kasturba Hospital Blood Bank,"Site.No.55/2, Shivalli Village, Manipal Udupi",0820 2922331  ,13.353846,74.789057
District Hospital Blood Bank Udupi,District Hospital,0820 2520555,13.334045,74.742105
K. L. E. Society Blood Bank,Dr. Kamal hospital & Medical Research Centre,08388 230257,14.661796,74.309805
District Hospital Blood Bank Karwar,District Hospital Premises,0838 2226318,14.817283,74.12968
Pandit General Hospital Blood Bank,Sirsi,0838 2223066,14.32773,74.491531
The Uttara Kannada Blood Bank and Health Services Society,"London Mahal, Gujjar Galli",08382 221851 ,14.4292776,74.4024452
Shripad Hegde Kadave Institute of Medical Sciences Blood Bank,T.S.S. Hospital,0838 6221851,14.632385,74.848338
M/s. Indian Red Cross Society Blood Bank Yadgir,"Gate no:-3,Government District Hospital Premises",08473 250355,16.752789,77.138698
K. V. M. Hospital Blood Bank,"P.B. No. 30, Chertala",0477 2812228,9.667112,76.339569
Woman and Child Hospital Blood Bank,Beach bazar,0477 2251151,9.4637103,76.3702515
M/s. Sanjivani Multispeciality Hospital Blood Bank,"A unit of GIDS Enterprises Private Limited, Alacode, Kollakadavu Post, Cheriyanad, Chengannur, Alappuzha",0479 2350030,9.259447,76.596252
Century Hospital Blood Bank,Mulakuzha,0479 2468710,9.304895,76.63545
Sacred Heart Hospital Blood Bank,Green Garden,0478 2822337,9.662125,76.338902
V. S. M. Hospital Blood Bank,"Building No. XIV/368, Thattarambalam",0479 2304222,9.247819,76.521093
T. D. Medical College Hospital Blood Bank Alappuzha ,Vandanam,0477 2282709,9.416254,76.347601
M/s. Rajagiri Healthcare and Education Trust Blood Bank,"Changamveli, Aluva, Ernakulam",0484 6655618,10.087575,76.388062
Regional Blood Transfusion Centre - District Hospital,"Railway Station Road, Periyar Nagar",0484 2625101,10.105151,76.355191
Carmel Hospital Blood Bank,Ashokapuram,0484 2625346,10.090627,76.362146
Little Flower Hospital Blood Bank,M. G. Road,0484 3096666,10.190395,76.39029
Aster Medicity - Aster DM Healthcare Private Limited Blood Bank,"IX/475 L, Kuttysahib Road, Near Kothad Bridge, South Chittoor ",0484 2373434,10.043946,76.277515
General Hospital Blood Bank ,Hospital Road,"0484 2366426, 0484 2625101, 0484 2386000",9.971979,76.281693
INHS Sanjeevini Naval Base Blood Bank,Willingdon Island,0484 2662366,9.946756,76.282561
IMA Voluntary Donor Blood Bank,T. D. Road,"0484 2361549, 0484 2350522",10.01486,76.303466
Lisie Hospital Blood Bank,Lisie Medical Institution,"0484 2400812, 0484 2401817",9.988224,76.288097
Malankara Orthodox Syrian Church Medical Mission Hospital Blood Bank,Kolencherry,0484 3055555,9.983305,76.474382
Medical Trust Hospital Blood Bank,"M.G.Road, Pallimukku",0484 2358001,9.964196,76.287884
Government Medical College Ernakulam Blood Bank,HMT Colony Post,0484 2754813,10.05335,76.354918
P. V. S. Memorial Hospital Limited Blood Bank,"NH Road, Next to Gokulam Park",0484 4182888,9.993389,76.291263
Samaritan Hospital Blood Bank,Pazhanganad,"0484 2680511, 0484 2680516",10.043927,76.397584
Lourdes Hospital Blood Bank,Pachalam,0484 4123456,10.006644,76.277863
